"filename", "language", "nasm", "C", "Makefile", "Batch", "comment", "blank", "total"
"f:\Program\30days\30daysOS-master\tolset\helloos0\!cons_9x.bat", "Batch", 0, 0, 0, 1, 0, 0, 1
"f:\Program\30days\30daysOS-master\tolset\helloos0\!cons_nt.bat", "Batch", 0, 0, 0, 1, 0, 0, 1
"f:\Program\30days\30daysOS-master\tolset\helloos0\Makefile", "Makefile", 0, 0, 66, 0, 5, 24, 95
"f:\Program\30days\30daysOS-master\tolset\helloos0\asmhead.nas", "nasm", 133, 0, 0, 0, 30, 40, 203
"f:\Program\30days\30daysOS-master\tolset\helloos0\bootpack.c", "C", 0, 264, 0, 0, 26, 26, 316
"f:\Program\30days\30daysOS-master\tolset\helloos0\bootpack.h", "C", 0, 200, 0, 0, 12, 11, 223
"f:\Program\30days\30daysOS-master\tolset\helloos0\dsctbl.c", "C", 0, 45, 0, 0, 4, 9, 58
"f:\Program\30days\30daysOS-master\tolset\helloos0\fifo.c", "C", 0, 50, 0, 0, 23, 6, 79
"f:\Program\30days\30daysOS-master\tolset\helloos0\graphic.c", "C", 0, 140, 0, 0, 0, 13, 153
"f:\Program\30days\30daysOS-master\tolset\helloos0\int.c", "C", 0, 23, 0, 0, 1, 7, 31
"f:\Program\30days\30daysOS-master\tolset\helloos0\ipl10.nas", "nasm", 86, 0, 0, 0, 6, 14, 106
"f:\Program\30days\30daysOS-master\tolset\helloos0\keyboard.c", "C", 0, 34, 0, 0, 7, 6, 47
"f:\Program\30days\30daysOS-master\tolset\helloos0\make.bat", "Batch", 0, 0, 0, 1, 0, 0, 1
"f:\Program\30days\30daysOS-master\tolset\helloos0\memory.c", "C", 0, 124, 0, 0, 6, 13, 143
"f:\Program\30days\30daysOS-master\tolset\helloos0\mouse.c", "C", 0, 62, 0, 0, 7, 6, 75
"f:\Program\30days\30daysOS-master\tolset\helloos0\mtask.c", "C", 0, 169, 0, 0, 29, 16, 214
"f:\Program\30days\30daysOS-master\tolset\helloos0\naskfunc.nas", "nasm", 184, 0, 0, 0, 5, 28, 217
"f:\Program\30days\30daysOS-master\tolset\helloos0\sheet.c", "C", 0, 196, 0, 0, 14, 13, 223
"f:\Program\30days\30daysOS-master\tolset\helloos0\timer.c", "C", 0, 104, 0, 0, 12, 9, 125
"Total", "-", 403, 1411, 66, 3, 187, 241, 2311
